SMILES,MACCKEYS_STRING
CC(Cl)(Cl)Cl,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001100001000000000000000000000100000000000000000000000001000000
C=C(Cl)Cl,00000000000000000000010000000000001000000000000000000000000000000000000000001000000000000000000000010001000100000000000000000000000000100000000000000000000000000000000
C=C=CC,00000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000
CC1(C)C(=O)N(CO)C(=O)N1CO,00000000000000000000000000001000000001000000000000000000000000000010000000110101001101000100100111001000001011101000110011100001100100001111101100101110011111111100110
C=C/C=C/C,00000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000
C=CC/C=C/C,00000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000100001000000
CCCCCCCCCCO,00000000000000000000000000000000000000000000000000000000000000000000000000000000001000000011000000000000100011000011101000000000110010000001000000010000010101001000100
CCCCCCCO,00000000000000000000000000000000000000000000000000000000000000000000000000000000001000000011000000000000100011000011101000000000110010000001000000010000010101001000100
COCC(C)OC(C)=O,00000000000000000000000000000000000000000000000000000000000000000000000010000000000000100000010000000000000011000001000000010010000010000000010000100100111101011000100
CCCCCCCCCO,00000000000000000000000000000000000000000000000000000000000000000000000000000000001000000011000000000000100011000011101000000000110010000001000000010000010101001000100
CCCOCC(C)O,00000000000000000000000000000000000000000000000000000000000000000000000010000000000000100001000000000000100011000011001000000010010010000011000000010100110101011000100
CCCCCCCCCCCCCCO,00000000000000000000000000000000000000000000000000000000000000000000000000000000001000000011000000000000100011000011101000000000110010000001000000010000010101001000100
CCCCCCCCCCCCCO,00000000000000000000000000000000000000000000000000000000000000000000000000000000001000000011000000000000100011000011101000000000110010000001000000010000010101001000100
CCCCCCCCCCCO,00000000000000000000000000000000000000000000000000000000000000000000000000000000001000000011000000000000100011000011101000000000110010000001000000010000010101001000100
Oc1cccc(Cl)c1Cl,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000100000000000001000000100001000110000010100001000011110
Nc1c(Cl)cc(Cl)cc1Cl,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000001000100000000000000000000000001110000000010000011000010100111010
CNC.O=C(O)COc1ccc(Cl)cc1Cl,00000000000000000000000000000000000000000000000000000000000000000000000010100000000000110000010000000001100101000100000000010011000110100001000110100111111101111111111
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,00000000000000000000000010000000000000000000000001000000100000010000001100000000100000000100001100000010000000000100000100101001001001011001101110101010100011110111110
CCCCCCCCCc1ccc(O)c(CCCCCCCCC)c1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000010000111101000000001110000000001000110010110100101001011110
CC(C)(C)C1=CC(=O)C=C(C(C)(C)C)C1=O,00000000000000000000000000000000000000000000000000100000000000000010000000101000000000000000000000010000000000001000000000000001000000001000010100000110101000011001110
Oc1ccccc1Br,00000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000100000100000000000001000000100001000110000010100001000011110
Nc1cc([N+](=O)[O-])ccc1Cl,00000000000000000000000010000000000000000000000001000000100000010000001100000000100010010000001000000011000100000000000100101000001001110000001010001011000010110111110
Oc1ccccc1Cl,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000100000000000001000000100001000110000010100001000011110
COc1ccc(C(=O)c2ccccc2)c(O)c1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000100000000000111000000000001000111100010101001011011110
Nc1ccccc1[N+](=O)[O-],00000000000000000000000010000000000000000000000001000000100000010000001100000001000010000000001001000010000000000000000100101000001001010000001010001011000010110111110
Oc1ccc(Cl)c(Cl)c1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000100000000000001000000100001000110000010100001000011110
Oc1cc(Cl)cc(Cl)c1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000100000000000001000000100001000100000000100001000011110
Cc1cccc(N)c1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000001010000000000000001000010101111010
Oc1cccc(Br)c1,00000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000100000100000000000001000000100001000100000000100001000011110
Oc1cccc(Cl)c1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000100000000000001000000100001000100000000100001000011110
Cc1ccc(N)cc1Cl,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000001000100000000000000000000000001110000000010000011000010101111010
Nc1cccc([N+](=O)[O-])c1,00000000000000000000000010000000000000000000000001000000100000010000001100000000100010000000001000000010000000000000000100101000001001010000001000001001000010110111110
Nc1ccc(Sc2ccc(N)cc2)cc1,00000000000000000000000000000000000000000000000000000000000100001000000000000000010010001000000000000000000000000000000000000100000101010000001001000001000010100111010
Nc1ccc(Br)cc1,00000000000000000000000000000000000000000000001000000000000000000000000000000000000010010000000000000000000100000000000000000000000001110000000000000001000010100111010
Nc1ccc(F)cc1,00000000000000000000000000000000000000000010000000000000000000000000000000000000000010010000000000000000000100000000000000000000000001110000000000000001000010100111010
COc1ccc(O)cc1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000011000000000001000100000000100001011011110
CC(C)CC(C)O,00000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000001000000000000000010000001010000000100100101001000100
O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,00000000000000000000000010000000000000000010000001000000100000010000001100000000000000000000001000000010001100001100000100101001001001110001000110101010100011110111110
Nc1ccc([N+](=O)[O-])cc1,00000000000000000000000010000000000000000000000001000000100000010000001100000000000010000000001000000010000000000000000100101000001001010000001000001001000010110111110
O=C(O)c1ccc([N+](=O)[O-])cc1,00000000000000000000000010000000000000000000000001000000100000010000001100000000000000000000001000000010000000000000000100111000001001011001100000101000001011110111110
CC1(C)N=C(O)N=C1O,00000000000000000000000000000000000001000000000000000100000000000010000000100111000100000100100111000000001000101000010111000001000100000101001100000110000011111100110
